id,channel_name,username,created_at,channel_type
1,ANDRON ALEXANYAN,andron_233,2024-12-20 15:14:06.952130,DA
2,Simulative,simulative_official,2024-12-20 22:02:11.976409,EDU
3,karpov.courses,KarpovCourses,2024-12-20 22:02:12.770529,EDU
4,LEFT JOIN,leftjoin,2024-12-20 22:02:13.989616,DE
5,Data Science. SQL hub,sqlhub,2024-12-20 22:02:15.310936,DS
6,Фичизм,fichism,2024-12-20 22:02:16.264175,PA
7,Аналитика и growth mind-set,analyticsgrowthmindset,2024-12-20 22:02:17.298516,DA
8,Reveal the Data,revealthedata,2024-12-20 22:02:18.239519,BI
9,No Data No Growth | Pavel Bukhtik,nodatanogrowth,2024-12-20 22:02:18.781104,EDU
10,настенька и графики,nastengraph,2024-12-20 22:02:19.275974,BI
11,data.csv,data_csv,2024-12-20 22:02:19.743353,BI
12,Инжиниринг Данных,rockyourdata,2024-12-20 22:02:20.298084,DE
13,Глеб Михайлов,mikhaylovgleb,2024-12-20 22:02:21.304546,DS
14,"Секреты аналитики | Data Science, BI, Tableau",analytics_secrets,2024-12-20 22:02:22.134070,DA
15,Дизраптор,disruptors_official,2024-12-20 22:02:22.527513,PA
16,This is Data,thisisdata,2024-12-20 22:02:23.615633,DA
17,Клуб анонимных аналитиков,analyst_club,2024-12-20 22:02:24.280773,BI
18,Детектив данных 🕵️,detective_data,2024-12-20 22:02:24.871579,DA
19,Продакт аналитикс,productanalyticsfordummies,2024-12-20 22:02:25.586489,DA
20,Datalytics,datalytx,2024-12-20 22:02:26.499027,DA
21,Чартомойка,chartomojka,2024-12-20 22:02:27.127070,BI
22,Дашбордец,dashboardets,2024-12-20 22:02:27.710546,BI
23,Время Валеры,cryptovalerii,2024-12-20 22:02:28.297532,DA
24,EXPF – математическая статистика и эксперименты,exp_fest,2024-12-20 22:02:29.514397,DA
25,Noukash life,noukashblog,2024-12-20 22:02:30.151532,DA
26,"Krasinsky: growth, marketing & product, analytics",ilya_krasinsky,2024-12-20 22:02:31.416517,MA
